,tag,Question,Reponse
10,Droit Commercial et économique : Droit des Sociétés,Acompte sur dividendes,j'ai oublié de payer les retenues à la source des dividendes liée aux bénéfices de l'exercice 2017 et distribuées en 2018ais je  la possibilité de les payer maintenant et quel est le risque fiscal ?Merci
11,Droit Commercial et économique : Droit des Sociétés,Clause de non concurrence abusive?,"BonsoirCitation de: Khal le 13 juin 2020, 03:51:54 pm 15:51Cette clause est-elle légale ? Non, car elle porte une atteinte trop grave à ta liberté de travailler .Citation de: Khal le 13 juin 2020, 03:51:54 pm 15:51Aussi ,je n'ai pas reçu un certificat de travail,est ce que c'est utile de le faire? Si oui ,suis je en droit de le faire ,même après 6 mois de la rupture du contratTu a droit de le demander même après  la rupture du contrat"
12,Droit Commercial et économique : Droit des Sociétés,Clause de non concurrence abusive?,"Merci beaucoup de votre aide Mr,Donc en somme ,il n'ya pas de procédures a entamer pour annuler ou contester les effets de cette clause,elle est nulle de soi ? Au cas ou je veux par exemple créer une société concurrente a mon ex employeur ,je suis dans mon plein droit? (Tant que je respecte le secret professionnel ,ce qui n'est pas difficile a faire,vu que j'occupais un poste subalterne)Aussi Mr Naceur ,désolé,mais c'est quoi exactement l'utilité d'un certificat de travail? Merci beaucoup ."
13,Droit Commercial et économique : Droit des Sociétés,rémunération Co-gérants d'une sarl,"Bonjour Citation de: Houssem 09 le 26 mars 2020, 12:23:41 pm 12:23Salem Alikom1. comment comptabilisés ces honoraires ou salaires ?Si honoraire ------------------------------------                    ------------------------------------622 Rémunération d’intermédiaires et honoraires                                             X                                   432    Etat r.s. loyer et honoraires                                                         Y= 15% (ou 5%) de X                                    450   Créditeurs divers                                                                            X-Y------------------------------------                    ------------------------------------Citation de: Houssem 09 le 26 mars 2020, 12:23:41 pm 12:232. Ces honoraires est déductible de résultat ?Oui, a condition que le co-gérant a une patente et la société doit effectuer une retenue à la source (15% ou 5%) Citation de: Houssem 09 le 26 mars 2020, 12:23:41 pm 12:233.Ces honoraires est soumis a l'impôt ?Retenue à la source 15% ou 5% (Art 52 du code IRPP et IS) Citation de: Houssem 09 le 26 mars 2020, 12:23:41 pm 12:234. Si oui comment payer ces impôt et comment faire pour régler la situation vis à vis la recette de finance Il faut payer la retenue la source et que le co-gérant a une patente (si non salaire) "
14,Droit Commercial et économique : Droit des Sociétés,rémunération Co-gérants d'une sarl,"Bonjour et merci pour la réponseOn a pas une autre patente donc on dois comptabilisés comme salaire? Si oui est ce qu'il sont déductible ?Comment régler les impôts  de ces salaires avec la recette de finance (Irpp, foprols tfp...)?Quels sont les déclaration nécessaire pour rectifier la situation ?Merci bcq"
15,Droit Commercial et économique : Droit des Sociétés,rémunération Co-gérants d'une sarl,"Bonjour Citation de: Houssem 09 le 29 mars 2020, 05:22:26 pm 17:22On a pas une autre patente donc on dois comptabilisés comme salaire? OuiCitation de: Houssem 09 le 29 mars 2020, 05:22:26 pm 17:22Si oui est ce qu'il sont déductible ?Oui Citation de: Houssem 09 le 29 mars 2020, 05:22:26 pm 17:22Comment régler les impôts  de ces salaires avec la recette de finance (Irpp, foprols tfp...)?Quels sont les déclaration nécessaire pour rectifier la situation ?Il faut déposer des déclarations mensuelles rectificatives (pour les mois correspondants aux salaires reçus) et il faut établir un PV d'AGO qui  fixe le salaire du co-gérant  "
16,Droit Commercial et économique : Droit des Sociétés,Cession de parts sociales d'une SUARL,"Bonjour Oui,  il faut déposer aune copie  de l'acte de cession,  du  PV de l'AGE  et bénéficiaire effectifs  à l'RNE Voir ce lien : https://www.registre-entreprises.tn/"
17,Droit Commercial et économique : Droit des Sociétés,Cession de parts sociales d'une SUARL,Merci pour la confirmation.
18,Droit Commercial et économique : Droit des Sociétés,Dépôt annuel des comptes au greffe du tribunal,"Bonsoir le Registre des entreprises prévoit l’application d’une pénalité de 50% du montant prévu pour chaque type de déclaration et par mois de retard. Et ce, selon l’article 63 de la loi n°52-2018. (après la date du 10 septembre 2019).Pour les déclarations du bénéficiaire effectif : 20 DT;La remise des bilans des sociétés : 50 DT par bilan;Remise des bilans des personnes physiques : 20 DT par bilan."
19,Droit Commercial et économique : Droit des Sociétés,Apport en nature - Société ananyme,"Bonjour Citation de: Adel2019 le 05 décembre 2019, 03:30:20 pm 15:30Je compte établir une entreprise en Tunisie de sous-traitance (SA) et j'ai un apport en nature au capital social sous forme de voiture neuve importée de l'étranger.Voici le détail :- Mazda CX-9 2.5L : affichée en vente en Tunisie 248 700 DT TTC- La même Mazada : affichée ici au Canada 37 000 $ soit 92 950 DT1- Si je la ramène avec FCR (exemption des droits douaniers pour les résidents à l'étranger) pour un apport en nature, un commissaire aux apport pourra l'évaluer de combien en Tunisie (environ) ?Tu peux pas faire un apport en nature par une voiture FCR (non cessible)Citation de: Adel2019 le 05 décembre 2019, 03:30:20 pm 15:302- Avez-vous une idée sur les honoraires des commissaires aux apports et peut-on ajouter ces frais dans les dépenses de démarrage du projet?Je vais te répondre par message privé "
20,Droit Commercial et économique : Droit des Sociétés,Apport en nature - Société ananyme,SVP Il sera de combien l'apport par l'auto FCR (j'ai posté le détail) ?
21,Droit Commercial et économique : Droit des Sociétés,Apport en nature - Société ananyme,"Bonjour Citation de: Adel2019 le 14 décembre 2019, 05:44:47 pm 17:44SVP Il sera de combien l'apport par l'auto FCR (j'ai posté le détail) ?Elle sera évalue à 248 700 DT TTC"
22,Droit Commercial et économique : Droit des Sociétés,Societe totalement exportatrice,"Bonjour Citation de: Hichem le 28 octobre 2019, 11:25:06 pm 23:25Je voudrai que vous m’éclairiez sur un sujet , Une société totalement exportatrice (A) qui vends des consommable ou MP a une autre société totalement exportatrice (B) , la société A qui n'exporte pas directement hors du territoire tunisien , a le droit d'acheter sa MP en Hors Taxes : sans TVA et vendre uniquement a la ou les sociétés totalement exportatrice ? est il possible d'avoir un texte de loi dans le de oui et de non . Selon  l'Article 69 du code de l’impôt sur le revenu des personnes physiques et de l’impôt sur les sociétés : Sont considérées entreprises totalement exportatrices, les entreprises qui vendent la totalité de leurs marchandises ou de leurs produits ou rendent la totalité de leurs services à l’étranger ou celle qui rendent la totalité de leurs services en Tunisie et qui sont utilisés à l’étranger."
23,Droit Commercial et économique : Droit des Sociétés,2 sociétés dans un même local ,"Bonjour Citation de: HASSEN MKAISSI le 30 septembre 2019, 07:56:38 pm 19:56une société commerciale créé en 2000 est il possible de créer une nouvelle société de service dans le même local de cette dernière ? Oui "
24,Droit Commercial et économique : Droit des Sociétés,Conflit entre associés ,Bjr Il faut se référer aux conditions prévus dans les statuts 
25,Droit Commercial et économique : Droit des Sociétés,Une société locale peut-elle avoir des parts étrangères plus que tunisiennes ,"Le seuil de la participation du capital qui permet d'attribuer à une société la qualité de non-résidente est 66%, c-à-d que si 66% du capital est détenu par des non-résidents et qui ont justifié d'une importation de devises à cet effet, la société est non-résidente et bénéficie d'importantes facilités sur le plan change. Sur le plan fiscal, ce sont les dispositions de droit commun qui s'appliquent (taux d'imposition de 10% depuis 2014).Il est à noter que la nationalité des actionnaires importe peut et une société peut-être non-résidente alors que des tunisiens exclusivement en sont des actionnaires: il faut et il suffit que ces tunisiens soient non-résidents au moment de la création de la société et qu'ils aient fait des apports en devises pour créer la société. Ceci selon le droit commun et des exceptions existent garce aux autorisations dérogatoires qui peuvent être octroyées par les autorités et notamment la BCT.Quand au choix de la forme de la société celui-ci n'est généralement pas fait en fonction de la qualité de la résidence des actionnaires."
26,Droit Commercial et économique : Droit des Sociétés,Une société locale peut-elle avoir des parts étrangères plus que tunisiennes ,je me suis mal expliqué au débutce que je voulais dire c'est qu'un étranger peut il avoir plus que 50% des parts d'une société résidente et qui travail sur le marché local A noté que la société est spécialisé dans l'industrie agro-alimentaire dans la confiserie
27,Droit Commercial et économique : Droit des Sociétés,Une société locale peut-elle avoir des parts étrangères plus que tunisiennes ,"La société reste résidente jusqu'au seuil de 66% et ce n'est qu'à partir de ce seuil qu'elle devient automatiquement non-résidente. Toutefois, quel que soit le taux et en fonction des objectifs visés, la BCT peut être sollicitée pour accorder le statut souhaité."
28,Droit Commercial et économique : Droit des Sociétés,Une société locale peut-elle avoir des parts étrangères plus que tunisiennes ,Je vous remercie pour votre repense Si non y-à- il une loi ou doc officiel qui justifie ça? 
29,Droit Commercial et économique : Droit des Sociétés,Une société locale peut-elle avoir des parts étrangères plus que tunisiennes ,"Oui, l'article 14 du Code des incitations aux investissements. A noter que cet article n'a pas été abrogé par la loi de l'investissement (Celle-ci n'est pas disponible en ce moment sur le site en texte intégral)"
30,Droit Commercial et économique : Droit des Sociétés,Une société locale peut-elle avoir des parts étrangères plus que tunisiennes ,C'est claire je vous remercie infiniment 
31,Droit Commercial et économique : Droit des Sociétés,"Enregistrement d'appels télephonique, legal ou non?","Non, c'est de votre droit absolu de conserver une copie de vos entretiens dans le cadre d'un dossier vous concernant et afin de faire valoir votre droit. De l'autre coté, il est de règle que votre interlocuteur enregistre l'entretien mais, il doit prendre les précautions pour vous avertir; la règle dans le sens contraire ne vous est pas imposée c'est-dire que si Tunisietélecom enregistre la conversation elle doit vous l dire mais que si vous, vous enregistrez votre conversation avec Tunisietelécom vous n'y êtes pas obligé.Vos communications et leurs enregistrements au cas ù vous voudriez déposer une plainte peuvent être présentés au juge pour fair valoir votre droit.Au-delà de ces enregistrements, le mieux est de résilier votre contrat dans les règles de  l'art car, il ne sert à rien de faire valoir votre droit dans un domaine où il y a aujourd'hui une possibilité de trouver un autre fournisseur.Nos respects"
32,Droit Commercial et économique : Droit des Sociétés,Cotisation CNSS pour gérant retraité,Voici un article intéressant.
33,Droit Commercial et économique : Droit des Sociétés,pénalité de retard dépôt des bilans ,Le bilan consolidé c'est le bilan d'un groupe de société ( plusieurs sociétés appartenant totalement ou partiellement au même associé) ça n'a rien a voir avec le retard de dépôt .
34,Droit Commercial et économique : Droit des Sociétés,Honoraires représentant légal ,"Il n'y a pas de lois qui fixe le montant d'honoraires ou de salaire de représentant légal , c'est a vous de vous entendre sur le montant"
35,Droit Commercial et économique : Droit des Sociétés,Transformation d'une SUARL à SA,"Bonjour Citation de: YoussefKefi le 14 septembre 2020, 09:46:51 am 09:46une SUARL peut-elle être transformer en SA directement sans passer par la forme SARL ?Oui Citation de: YoussefKefi le 14 septembre 2020, 09:46:51 am 09:46quelle est la procédure (résolutions, dépôts, publications, etc. ...) et les délais légaux ?Le mieux est de confier ce travail à un professionnel (c'est complexe) "
36,Droit Commercial et économique : Droit des Sociétés,Transformation d'une SUARL à SA,"Oui , c'est possible , il suffit d'effectuer les étapes de modification de société habituelle ( signature PV , enregistrement , déposer le dossier auprès de la RNE ) , mais il mieux créer une nouvelle société et fermer la SUARL"
37,Droit Commercial et économique : Droit des Sociétés,changement siège social,Bonjour - Établir un PV AGO ou AGE (voir statuts) - Enregistrer le PV - Faire un demande au bureau de contrôle des impôts  compétant pour changer la patente - Déposer un dossier de transfert du siège social au RNE (voir le site du RNE ) 
38,Droit Commercial et économique : Droit des Sociétés,Dépôt des états financiers ,"BonjourCitation de: HASSEN MKAISSI le 13 juillet 2020, 02:44:17 pm 14:44est ce que je doit déposer les états financiers des 3 dernières années au RNE ? Oui, Article 32 de la loi n° 2018-52 du 29 octobre 2018 relative au Registre National des EntreprisesCitation de: HASSEN MKAISSI le 13 juillet 2020, 02:44:17 pm 14:44y a t-il une pénalité pour le retard ?Oui Citation de: HASSEN MKAISSI le 13 juillet 2020, 02:44:17 pm 14:44les états doivent être déposer en ligne (c.a.d. par internet ) ou physiquement au lieu de l'RNE ?En ligne (par internet ) "
39,Droit Commercial et économique : Droit des Sociétés,Dépôt des états financiers ,"Désolé, A compter du mois de septembre 2020, le dépôt des états financiers se fera 100% en ligne, selon un communiqué du Registre national des entreprises (RNE) sur sa plateforme  e-bilan"
40,Droit Commercial et économique : Droit des Sociétés,date de jouissance de dividende,"Bonjour Citation de: RIM.S le 13 juillet 2020, 06:41:35 pm 18:41j'ai un cas de cession d'actions qui s'est passé avant l'AGO décidant les dividendes. est ce que les dividendes sont le droit du cédant ou du cessionnaire.Les dividendes reviennent normalement au cessionnaire sauf clause contraire dans l'acte de cession "
41,Droit Commercial et économique : Droit des Sociétés,"assemblée générale , société sans mouvement","Citation de: HASSEN MKAISSI le 24 juin 2020, 02:47:10 pm 14:47est il obligatoire de faire une assemblée générale pour un société créé en Novembre 2019 et n'a aucun mouvement sur l'exercice 2019 ?De préférence est de faire une assemblée généraleCitation de: HASSEN MKAISSI le 24 juin 2020, 02:47:10 pm 14:47ainsi que pour l'acompte provisionnel ?Selon l'Article 51 paragraphe III "" Les acomptes provisionnels payables à compter de la deuxième année d'activité sont perçus par échéance égale chacune à 30% de l'impôt dû au titre des revenus ou bénéfices de l'année précédente."""
42,Droit Commercial et économique : Droit des Sociétés,Acompte sur dividendes,"BonjourCitation de: HASSEN MKAISSI le 21 juin 2020, 09:24:44 am 09:24les Actionnaires ont ils le droit d'avoir une acompte au mois de juillet sur les dividendes ( des profits de l'exercice 2019 )  ?vu que le bilan de l'exercice au 31/12/2019 présente un profit si oui quels sont les conditions ?Non, n'ont pas droit à des acomptes sur les dividendes Mais,  ils peuvent décider l'affectation du résultat de l'exercice 2019 et distribuer des dividendes et  pour cela il faut établir un PV de l'AGO Remarque : les dividendes sont soumis à une retenue à la source de 10% "
43,Droit Commercial et économique : Droit des Sociétés,Acompte sur dividendes,j'ai oublié de payer les retenues à la source des dividendes liée aux bénéfices de l'exercice 2017 et distribuées en 2018ais je  la possibilité de les payer maintenant et quel est le risque fiscal ?Merci
44,Droit Commercial et économique : Droit des Sociétés,POINT DE VENTE ,Bonjour 1) une patente est elle obligatoire ? ====> Oui 2) une comptabilité distincte au point de vente est elle obligatoire ? ====> Oui 3) s'agit il d'une activité secondaire ou d'un établissement secondaire ? =====> Activité secondaire 
45,Droit Commercial et économique : Droit des Sociétés,Changement d'une societe commercial en industrielle,"oui la procédure est :-écrire un PV de changement d'activité qui doit être signé par les associés et enregistré à la recette des finances .-si la situation fiscal est nette , une nouvelle patente et une déclaration d'existence mentionnant la nouvelle activité sera remise à la société .-déposer un dossier de changement d'activité au greffe de tribunal et faire la publication au JORT ."
46,Droit Commercial et économique : Droit des Sociétés,Changement d'une societe commercial en industrielle,Merci
47,Droit Commercial et économique : Droit des Sociétés,Retenue sur salaire ,"Essalemsi j'ai bien compris la situation, votre société est exonérée de la charge patronale de CNSS sur cette employé pendant 5 ans,mais elle reste redevable de la partie de CNSS qui est à la charge du personnel(9,18%)en plus de(0,5%)au profit de l’État et le taux d’accident de travail( 0,5% ). pour la retenue à la source sur salaire,la société doit opérée cette retenue sur le salaire du technicienne chaque mois, et ça n'a pas de relation avec l’exonération de 5 ans sur CNSS."
48,Droit Commercial et économique : Droit des Sociétés,Retenue sur salaire ,MERCI BIEN 
49,Droit Commercial et économique : Droit des Sociétés,Déclaration Mensuel de TVA,vous pouvez soit faire une déclaration rectificatif  soit calculer la différence lors de la prochaine déclaration 
50,Droit Commercial et économique : Droit des Sociétés,Société de service,"non , pour faire de l'import export  en étant totalement exportatrice , il faut créer une société de commerce international"
51,Droit Commercial et économique : Droit des Sociétés,possibilités de liquidation  d'une societé off shore sur demande du co-gerant ,"1- la seul possibilité c'est de acheter les parts de l'autre associé , il ne peut pas le contraindre de vendre ses parts , soit il achetè les parts , soit il vend ses propres part et créer une autre société .2- les modèles de produits sont liés a la société  ,  mais puisque ces modèles ne sont pas déposés il créer une autre société et les déposer a son nom "
52,Droit Commercial et économique : Droit des Sociétés,Facturation entre sociétés totalement exportatrice,"Essalem une société totalement exportatrice doit au minimum réaliser 70% de son chiffre d'affaire avec des sociétés exportatrices indépendamment que ces sociétés soient en Tunisie ou à l’étranger, c.a.d elle peut réaliser une partie de chiffre d'affaire avec des sociétés non exportatrices.et elle à le choix de facturer en dinars tunisien ou en monnaie étrangère."
53,Droit Commercial et économique : Droit des Sociétés,Facturation entre sociétés totalement exportatrice,"Sélémou 3alaykom,Non, ça ne répond pas à ma question.Est ce que une société totalement exportatrice résidente en Tunisie peut facture avec 0%TVA à une société totalement exportatrice tunisienne résidente.Est ce que je peux facturer en Euro et non en dinars pour cette société?"
54,Droit Commercial et économique : Droit des Sociétés,Facturation entre sociétés totalement exportatrice,"3alaykom essalem w rahmatou allah- pour la facturation sans tva,c'est légale et pas de problème car le chiffre d'affaire à l'export n'est pas soumis à la tva.- pour la facturation en euro,je ne suis pas sur 100% de l'information mais je pense que c'est possible et il n'a pas une interdiction."
55,Droit Commercial et économique : Droit des Sociétés,Augmentation de capital par incorporation des benifices," Article 292 - L'augmentation du capital social pourra être réalisée par l'émission de nouvelles actions ou par l'augmentation de la valeur nominale de celles existantes.Les nouvelles actions peuvent être libérées en numéraire, par compensation de créances certaines, échues et dont le montant est connu par la société, par incorporation de réserves, de bénéfices et des primes d'émission, par des actions d'apport ou par conversion d'obligations.L'augmentation du capital social par majoration de la valeur nominative des actions est décidée à l'unanimité des actionnaires, sauf si l'augmentation a été réalisée par incorporation des réserves, des bénéfices ou des primes d'émission."
56,Droit Commercial et économique : Droit des Sociétés,Augmentation de capital par incorporation des benifices,"les procédures a suivre sont -établir un PV d'une AGE et l'enregistrer à la recette des finances-déposer le montant de l'augmentation dans un  compte bancaire indisponible-déposer le dossier de l'augmentation au greffe de tribunal  pour changer le registre de commerce-faire une annonce au JORT-le montant de l'augmentation  sera décidé par les actionnaires , si tout le bénéfice a été incorporé il  n y aura pas de dividendes "
57,Droit Commercial et économique : Droit des Sociétés,droit des sociétés totalement exportatrices,"-les sociétés totalement exportatrice qui ont été crée en  2014  ne sont plus exonérés de l'IS , ils payent un impôts de 10%  .- en ce qui concerne la part patronales de la CNSS , il payent 16.07% au lieu de 16.57% pour les autres sociétés"
58,Droit Commercial et économique : Droit des Sociétés,Règlement des facture en EURO,"pour  qu'une société  résidente   règle une  facture en EURO ,  il  faut une autorisation de la banque centrale , la  procédure de l'obtention de cette autorisation  dépend de l'activité des sociétés ."
59,Droit Commercial et économique : Droit des Sociétés,Règlement des facture en EURO,l'autorisation est obtenue après un avis du ministère des finances.
60,Droit Commercial et économique : Droit des Sociétés,Règlement des facture en EURO,"L'autorisation de la BCT n'est requise que pour les ""opérations non courantes"". pour les ""opérations courantes"", les règlements en devises sont libres (moyennant justificatifs) mais doivent passer par un intermédiaire agréé (une banque).plus de détails ici : http://www.bct.gov.tn/bct/siteprod/page.jsp?id=67"
61,Droit Commercial et économique : Droit des Sociétés,Règlement des facture en EURO,"remarque : si la société est non  résidente , elle n'a pas besoin d'une autorisation de la BCT"
62,Droit Commercial et économique : Droit des Sociétés,Plusieurs actionnaires représentés par une seule personne,"Article 279 du code des sociétés commercialesLes statuts peuvent exiger un nombre minimum d'actions, sans que celui-ci puisse être supérieur à dix, pour participer aux assemblées générales ordinaires. Plusieurs actionnaires peuvent se réunir pour atteindre le minimum prévu par les statuts et se faire représenter par l'un d'eux"
63,Droit Commercial et économique : Droit des Sociétés,Plusieurs actionnaires représentés par une seule personne,Je vous remercie pour cette réponse !
64,Droit Commercial et économique : Droit des Sociétés,Commission sur vente pour un salarié de l'entreprise,ça fait partie de la charge salariale soumise à l'IRPP et à la CNSS
65,Droit Commercial et économique : Droit des Sociétés,Commission sur vente pour un salarié de l'entreprise,"s'il s'agit d'une ""rémunération occasionnelle"" : RAS 15% + retenue CNSS (vous nêtes exempté de retenue CNSS que si le tiers en question est indépendant c'est à dire qu'il a une patente en son nom) si c'est le mode de rémunération habituel --> le fait qu'il soit variable n'y change rien --> salaire --> retenue IRPP + CNSS"
66,Droit Commercial et économique : Droit des Sociétés,réserves légales,"La réserve légale appartient aux actionnaires. Rien ne s'oppose à son affectation / distribution à charge pour la société de la reconstituer. Le code ne comporte qu'une obligation de prélèvement sur les bénéfices en vue de sa constitution. D'ailleurs, même si une interdiction existait, rien n'empêcherait une AGE de réduire son capital par une première résolution, rendant par la même une partie de la RL ""excédentaire"" disponible, de distribuer cet excédent la résolution suivante puis d'augmenter à nouveau le capital au niveau de la troisième résolution de l'AGE et de reconstituer la RL plus tard au moyen des bénéfices futurs. CQFD "
67,Droit Commercial et économique : Droit des Sociétés,pénalité de retard dépôt des bilans ,Le bilan consolidé c'est le bilan d'un groupe de société ( plusieurs sociétés appartenant totalement ou partiellement au même associé) ça n'a rien a voir avec le retard de dépôt .
68,Droit Commercial et économique : Droit des Sociétés,Honoraires représentant légal ,"Il n'y a pas de lois qui fixe le montant d'honoraires ou de salaire de représentant légal , c'est a vous de vous entendre sur le montant"
69,Droit Commercial et économique : Droit des Sociétés,Transformation d'une SUARL à SA,"Bonjour Citation de: YoussefKefi le 14 septembre 2020, 09:46:51 am 09:46une SUARL peut-elle être transformer en SA directement sans passer par la forme SARL ?Oui Citation de: YoussefKefi le 14 septembre 2020, 09:46:51 am 09:46quelle est la procédure (résolutions, dépôts, publications, etc. ...) et les délais légaux ?Le mieux est de confier ce travail à un professionnel (c'est complexe) "
70,Droit Commercial et économique : Droit des Sociétés,Transformation d'une SUARL à SA,"Oui , c'est possible , il suffit d'effectuer les étapes de modification de société habituelle ( signature PV , enregistrement , déposer le dossier auprès de la RNE ) , mais il mieux créer une nouvelle société et fermer la SUARL"
71,Droit Commercial et économique : Droit des Sociétés,changement siège social,Bonjour - Établir un PV AGO ou AGE (voir statuts) - Enregistrer le PV - Faire un demande au bureau de contrôle des impôts  compétant pour changer la patente - Déposer un dossier de transfert du siège social au RNE (voir le site du RNE ) 
72,Droit Commercial et économique : Droit des Sociétés,Dépôt des états financiers ,"BonjourCitation de: HASSEN MKAISSI le 13 juillet 2020, 02:44:17 pm 14:44est ce que je doit déposer les états financiers des 3 dernières années au RNE ? Oui, Article 32 de la loi n° 2018-52 du 29 octobre 2018 relative au Registre National des EntreprisesCitation de: HASSEN MKAISSI le 13 juillet 2020, 02:44:17 pm 14:44y a t-il une pénalité pour le retard ?Oui Citation de: HASSEN MKAISSI le 13 juillet 2020, 02:44:17 pm 14:44les états doivent être déposer en ligne (c.a.d. par internet ) ou physiquement au lieu de l'RNE ?En ligne (par internet ) "
73,Droit Commercial et économique : Droit des Sociétés,Dépôt des états financiers ,"Désolé, A compter du mois de septembre 2020, le dépôt des états financiers se fera 100% en ligne, selon un communiqué du Registre national des entreprises (RNE) sur sa plateforme  e-bilan"
74,Droit Commercial et économique : Droit des Sociétés,date de jouissance de dividende,"Bonjour Citation de: RIM.S le 13 juillet 2020, 06:41:35 pm 18:41j'ai un cas de cession d'actions qui s'est passé avant l'AGO décidant les dividendes. est ce que les dividendes sont le droit du cédant ou du cessionnaire.Les dividendes reviennent normalement au cessionnaire sauf clause contraire dans l'acte de cession "
75,Droit Commercial et économique : Droit des Sociétés,"assemblée générale , société sans mouvement","Citation de: HASSEN MKAISSI le 24 juin 2020, 02:47:10 pm 14:47est il obligatoire de faire une assemblée générale pour un société créé en Novembre 2019 et n'a aucun mouvement sur l'exercice 2019 ?De préférence est de faire une assemblée généraleCitation de: HASSEN MKAISSI le 24 juin 2020, 02:47:10 pm 14:47ainsi que pour l'acompte provisionnel ?Selon l'Article 51 paragraphe III "" Les acomptes provisionnels payables à compter de la deuxième année d'activité sont perçus par échéance égale chacune à 30% de l'impôt dû au titre des revenus ou bénéfices de l'année précédente."""
76,Droit Commercial et économique : Droit des Sociétés,Acompte sur dividendes,"BonjourCitation de: HASSEN MKAISSI le 21 juin 2020, 09:24:44 am 09:24les Actionnaires ont ils le droit d'avoir une acompte au mois de juillet sur les dividendes ( des profits de l'exercice 2019 )  ?vu que le bilan de l'exercice au 31/12/2019 présente un profit si oui quels sont les conditions ?Non, n'ont pas droit à des acomptes sur les dividendes Mais,  ils peuvent décider l'affectation du résultat de l'exercice 2019 et distribuer des dividendes et  pour cela il faut établir un PV de l'AGO Remarque : les dividendes sont soumis à une retenue à la source de 10% "
77,Droit Commercial et économique : Droit des Sociétés,Acompte sur dividendes,j'ai oublié de payer les retenues à la source des dividendes liée aux bénéfices de l'exercice 2017 et distribuées en 2018ais je  la possibilité de les payer maintenant et quel est le risque fiscal ?Merci
